event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
LLM_NEW_TOKEN,1765872293.8873951,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5245.888471603394,11905.198335647583,,13806.01716041565
LLM_NEW_TOKEN,1765872293.8913774,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5241.90616607666,11901.21603012085,,13802.034854888916
LLM_NEW_TOKEN,1765872293.891685,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5241.598606109619,11900.908470153809,,13801.727294921875
LLM_NEW_TOKEN,1765872293.8919713,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5241.312265396118,11900.622129440308,,13801.440954208374
LLM_NEW_TOKEN,1765872293.892179,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5241.104602813721,11900.41446685791,,13801.233291625977
LLM_NEW_TOKEN,1765872293.9044473,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5228.836297988892,11888.146162033081,,13788.964986801147
LLM_NEW_TOKEN,1765872293.9055905,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5227.6930809021,11887.002944946289,,13787.821769714355
LLM_NEW_TOKEN,1765872293.9159086,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5217.375040054321,11876.68490409851,,13777.503728866577
LLM_NEW_TOKEN,1765872293.9161887,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5217.094898223877,11876.404762268066,,13777.223587036133
LLM_NEW_TOKEN,1765872293.9247012,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5208.582401275635,11867.892265319824,,13768.71109008789
LLM_NEW_TOKEN,1765872293.924955,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5208.328723907471,11867.63858795166,,13768.457412719727
